,source_id,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
2971,659225429229735936,129.64809421206598,17.204242694954267,-3.446057246475599,-13.327417902156698,1,0,18.6735000610352,18.0263996124268,-65.22092533993708,4.2257954451834205,-8.326226485332423,-0.5069612358110183
2972,659234221025727488,129.2980091550783,17.209284908660816,-4.557859416999921,-13.885653181072108,1,0,19.8731994628906,18.0613994598389,-65.38323978537346,4.5184846188209535,-9.377016523796023,0.21757476599842393
2973,659437768115605248,129.9779644665087,18.201862014507736,-5.205955028705887,-13.105858543253841,1,0,20.1580009460449,18.5265998840332,-64.19635698658362,4.449984152318828,-8.956165135915318,1.128154377045303
2974,659436153209324032,129.91855630470403,18.169476066796395,-6.100147848073657,-11.623609846059123,1,0,22.1376991271973,20.0736999511719,-64.25271869903708,4.482802252574184,-8.119228718356611,2.6469712359784463
2975,659304765865460224,128.95307889532452,17.544605928661536,-5.245990899001625,-13.070998364309283,1,0,17.7919998168945,16.4895000457764,-65.25464322677294,4.970569281418963,-9.008378403283368,1.2679028804158152
2976,659546349185651328,129.12068286405923,18.26282821699698,-6.111159557023533,-13.461361066971934,1,0,19.3642997741699,17.7301006317139,-64.54875286575242,5.187141665762212,-9.73908318038558,1.8344002087284639
2977,751909238632374400,159.0340150785259,37.113285202328335,-4.643313159379897,-12.815018053064035,1,0,16.8442993164063,16.2360000610352,-33.97938008114369,-5.2964139081181,-6.6508958223446,-2.6530410767472445
2978,752070145287422208,160.3655207042787,38.16386074974714,-3.538852870089598,-12.665299744588095,1,0,18.6690998077393,17.1462001800537,-32.484663256044485,-5.312587772165311,-5.672222175665451,-3.5207113491486237
2979,752093239326594304,160.31965662904867,38.394706099823395,-5.868424222397865,-12.658783234411295,1,0,18.2695007324219,17.9032001495361,-32.34615296043046,-5.124015704052504,-7.315362803994278,-1.8623896173901493
2980,752091688843433984,160.09736483535468,38.41487949614664,-5.371628344457168,-11.460088547939401,1,0,17.8539009094238,17.3635997772217,-32.45517359231019,-4.9863263421900585,-6.126714171105712,-1.3372780541788152
2981,752057367759349632,159.9702240106926,37.972148854702155,-6.370653760229388,-13.200030522222123,1,0,20.970100402832,20.0524005889893,-32.84152298820794,-5.226975322630995,-8.073862451741503,-1.8309584094689457
2982,659821222796230528,132.5501513403741,17.55508569031256,-4.585676675048606,-11.931293176282537,1,0,20.6032009124756,18.8034992218018,-63.52078697167457,2.009523436261305,-7.5677281207530465,0.890471563826246
2983,659654921662036480,129.2823742821662,18.448966765707965,-5.059213608418133,-13.19933668535563,1,0,21.4039001464844,20.144100189209,-64.31009917779397,5.145848667234419,-8.977838150687727,1.0386359715651137
2984,659686124601366016,129.77394703626274,18.82063152322267,-4.743138898265742,-13.858338364660245,1,0,13.8768997192383,13.0310001373291,-63.754263016433015,4.925549262505613,-9.360644999297207,0.39623523661388327
2985,659899425560980608,132.3313170495401,17.951880148822397,-5.290904180201146,-12.951109649286744,1,0,20.3113994598389,19.7637004852295,-63.28507713479206,2.3908428200999157,-8.795511908661274,1.013568008643598
2986,659791123665204608,132.32845008906372,17.257580911518243,-5.400419303814563,-13.572704051957626,1,0,18.8213005065918,17.702600479126,-63.88477478346334,2.0401859698401514,-9.41563618593688,0.7715107702489215
2987,659678561162286720,129.76247807636125,18.723975832303793,-5.662932799745061,-11.370503208877132,1,0,21.9242000579834,20.0687999725342,-63.84388014008124,4.886977837687572,-7.662361737706256,2.42797334854058
2988,659848989759712640,131.8312935487903,17.35173020651318,-5.997886484196582,-11.225566055209903,1,0,17.8236999511719,17.1788005828857,-64.04468405782285,2.4969453469578973,-7.708029033912588,2.533854470375824
2989,659825449044433024,132.77913615105336,17.610161004970422,-2.500481626966484,-13.61670872546565,1,0,22.0993995666504,19.5069999694824,-63.36201735936743,1.8498256645435935,-7.942607534934137,-1.7850745775265797
2990,659886128342158592,132.30074793433002,17.76103550861867,-2.9682860384131065,-13.36197114442314,1,0,19.5984001159668,17.9517002105713,-63.46437381084155,2.318903514176476,-7.977898263391915,-1.197815813238411
2991,751527227060996992,158.74187547405893,36.82601650337687,-3.9770091467866644,-13.570085782915235,1,0,20.1000003814697,19.3782005310059,-34.34980527126362,-5.327439640622085,-6.755221048079779,-3.6145510106725705
2992,751492596740024448,158.43403804225917,36.48293445306602,-5.574461849066315,-12.445583593791344,1,0,17.2182998657227,16.4734992980957,-34.77031485608808,-5.385818531065015,-7.067432898006719,-1.6375352654426212
2993,751535683851908352,158.8459389823959,37.04047349740149,-6.704702692643975,-12.737157171785428,1,0,19.4829006195068,18.5526008605957,-34.13659861508006,-5.2388997488135605,-8.036036091158163,-1.0866236386603452
2994,751535782636384640,158.78656600948665,37.02619021207271,-5.119499072150021,-12.922683869851614,1,0,22.1923007965088,19.9683990478516,-34.179918333665,-5.214621724650888,-7.074656932767064,-2.349194479611182
2995,752503936984237056,154.13139024274204,34.64589666333407,-3.225767221897917,-14.519539291487998,1,0,18.3269996643066,17.6991996765137,-38.493158756434525,-4.023922778218528,-7.329593398798903,-4.153572802790549
2996,752344507798347520,154.88397162764946,34.418434985121756,-3.5702689942380155,-12.636816689549018,1,0,20.8843994140625,20.1984004974365,-38.25754267056158,-4.64110727137637,-6.083337107404856,-2.7608972770402076
2997,752282522830070144,155.7033485687396,34.07907869663361,-4.241290262871129,-13.502010185762067,1,0,21.163200378418,19.5394992828369,-38.06282376209248,-5.373407959826706,-7.126788157492319,-2.940995487396904
2998,752372339186004096,155.29050104920145,34.687320870381235,-3.1707226225230833,-13.188536982914686,1,0,20.2966003417969,19.4025001525879,-37.833089913769356,-4.714869400240847,-6.202768086003175,-3.4778359140845145
2999,752481366931156608,153.5957548996962,34.35980356125833,-5.250283732861406,-11.946337824169744,1,0,20.2758007049561,19.6086006164551,-38.9988317722395,-3.8749129788439585,-6.729272991624131,-0.8680184341330319
3000,752167108469262464,154.9466077147104,33.61259443834503,-5.562698252924708,-13.422593659855753,1,0,21.5569000244141,20.3437995910645,-38.83176502965375,-5.210999510447083,-7.992981693487242,-1.7883488244178891
3001,752443635643268224,154.16219752382386,34.332143577780386,-5.488716393435253,-11.704214861911337,1,0,17.0837001800537,15.9348001480103,-38.71478679494936,-4.248026225193234,-6.676652388510734,-0.6059424561932981
